epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,150.231,0.64061,0.51378,0.98739,0.95408,0.97876,0.9823,0.82848,0.76207,0.4568,0.97965,0.000248772,0.000248772,0.000248772
43,152.512,0.64553,0.46697,0.99478,0.96097,0.95978,0.98186,0.83324,0.75144,0.47196,0.96035,0.000236083,0.000236083,0.000236083
44,155.114,0.64249,0.48448,0.9954,0.88985,0.9597,0.9835,0.82927,0.78959,0.53241,0.95903,0.000223395,0.000223395,0.000223395
45,158.42,0.6757,0.49405,1.00768,0.767,0.97999,0.98389,0.82923,0.76441,0.56016,0.95014,0.000210706,0.000210706,0.000210706
46,160.991,0.61841,0.45133,0.95726,0.94791,0.81691,0.9835,0.82761,0.74305,0.57448,0.95397,0.000198018,0.000198018,0.000198018
47,163.227,0.62732,0.45778,0.99546,0.9542,0.82668,0.98315,0.81971,0.74739,0.55025,0.96471,0.000185329,0.000185329,0.000185329
48,165.742,0.64293,0.46661,1.00023,0.97363,0.96866,0.98256,0.83753,0.72829,0.44033,0.96587,0.000172641,0.000172641,0.000172641
49,168.445,0.59109,0.44085,0.97109,0.9686,0.96491,0.98132,0.83055,0.72158,0.4253,0.96078,0.000159952,0.000159952,0.000159952
50,171.511,0.57415,0.42121,0.95952,0.96555,0.96061,0.98066,0.83723,0.72452,0.42145,0.96237,0.000147264,0.000147264,0.000147264
51,183.818,0.48572,0.37205,0.89448,0.96261,0.95903,0.98103,0.83078,0.72474,0.40808,0.96581,0.000134575,0.000134575,0.000134575
52,189.57,0.505,0.41406,0.92,0.95662,0.95871,0.98149,0.8324,0.73717,0.41284,0.96434,0.000121887,0.000121887,0.000121887
53,194.32,0.50629,0.36966,0.89566,0.957,0.95835,0.98207,0.82797,0.73753,0.40804,0.96833,0.000109198,0.000109198,0.000109198
54,198.456,0.47793,0.36597,0.90005,0.95608,0.96117,0.98433,0.82276,0.73802,0.40863,0.97774,9.65095e-05,9.65095e-05,9.65095e-05
55,201.395,0.49132,0.35784,0.9136,0.94925,0.97364,0.98543,0.83855,0.74182,0.40945,0.98647,8.3821e-05,8.3821e-05,8.3821e-05
56,203.686,0.49361,0.36557,0.90035,0.95431,0.98148,0.99056,0.82777,0.74772,0.40775,0.98854,7.11325e-05,7.11325e-05,7.11325e-05
57,206.094,0.46246,0.33377,0.88394,0.95798,0.97996,0.99056,0.826,0.75113,0.41015,0.99034,5.8444e-05,5.8444e-05,5.8444e-05
58,209.383,0.46501,0.34991,0.87871,0.96072,0.97869,0.98789,0.8275,0.75128,0.40546,0.98665,4.57555e-05,4.57555e-05,4.57555e-05
59,212.251,0.47682,0.3405,0.88998,0.96269,0.97784,0.98907,0.83331,0.7509,0.40087,0.9866,3.3067e-05,3.3067e-05,3.3067e-05
60,214.934,0.46244,0.35327,0.88226,0.96467,0.9773,0.99246,0.8389,0.74575,0.39848,0.98801,2.03785e-05,2.03785e-05,2.03785e-05
